CODE|LANGUAGE|TRANSLATION
FE_LOGIN_FORM_USERNAME_LABEL|en|Username
FE_LOGIN_FORM_PASSWORD_LABEL|en|Password
FE_LOGIN_FORM_BUTTON_TEXT|en|Login
