CODE|LANGUAGE|TRANSLATION
FE_ERROR_DIALOG_TITLE_STATUS|en|Status:
FE_ERROR_DIALOG_DESCRIPTION_DEFAULT|en|We're sorry our service decided to take a short smoking break. Please try again in few minutes
